round,rs b/d=0.2,rs b/d=0.1,rs b/d=0.07,rs b/d=0.05,ps b/d=0.2,ps b/d=0.1,ps b/d=0.07,ps b/d=0.05
0,0.127965235,0.127965235,0.127965235,0.127965235,0.127965235,0.127965235,0.127965235,0.127965235
1,0.250460123,0.260429448,0.267893661,0.260685072,0.429192229,0.458026585,0.470756646,0.47101227
2,0.377300613,0.384560327,0.373364008,0.360276074,0.618200409,0.629243354,0.633537832,0.625460123
3,0.476533742,0.464672802,0.43006135,0.395705521,0.693353783,0.689570552,0.681799591,0.668456033
4,0.556952965,0.513854806,0.458742331,0.404703476,0.724182004,0.714775051,0.700051125,0.684304703
5,0.60807771,0.555470348,0.477965235,0.420705521,0.738139059,0.724284254,0.708895706,0.689212679
6,0.645296524,0.585429448,0.499846626,0.416564417,0.746216769,0.730163599,0.713139059,0.692791411
7,0.668916155,0.613701431,0.492382413,0.42295501,0.752607362,0.735276074,0.717229039,0.697034765
8,0.688445808,0.623977505,0.50097137,0.418660532,0.756441718,0.738957055,0.720756646,0.698159509
9,0.70107362,0.637627812,0.504038855,0.425102249,0.758588957,0.741002045,0.72295501,0.699130879
10,0.712014315,0.645654397,0.516666667,0.43297546,0.760736196,0.74299591,0.72402863,0.700817996
11,0.718609407,0.64698364,0.525766871,0.43093047,0.762576687,0.744734151,0.727096115,0.702096115
12,0.724182004,0.65,0.531748466,0.438241309,0.76390593,0.746523517,0.728783231,0.703425358
13,0.727658487,0.651533742,0.535122699,0.442689162,0.765695297,0.747597137,0.729447853,0.704703476
14,0.731134969,0.65690184,0.536042945,0.447392638,0.76692229,0.748670757,0.731083845,0.705777096
15,0.732770961,0.657873211,0.538701431,0.44902863,0.767484663,0.749948875,0.731697342,0.706288344
16,0.73394683,0.663548057,0.54601227,0.453680982,0.767740286,0.750153374,0.732208589,0.707413088
17,0.7349182,0.661503067,0.548568507,0.456543967,0.768251534,0.751380368,0.733435583,0.708179959
18,0.736809816,0.662678937,0.547188139,0.455419223,0.768507157,0.752249489,0.734202454,0.709100204
19,0.738854806,0.664212679,0.547392638,0.452607362,0.769325153,0.753374233,0.734713701,0.709611452
20,0.738957055,0.665797546,0.549539877,0.453118609,0.769529652,0.754550102,0.735633947,0.710940695
21,0.73706544,0.662167689,0.55107362,0.455316973,0.769785276,0.755265849,0.736349693,0.712116564
22,0.73696319,0.663957055,0.551738241,0.453527607,0.770194274,0.75603272,0.737372188,0.71303681
23,0.737883436,0.666973415,0.552096115,0.455316973,0.771472393,0.757515337,0.737883436,0.713292434
24,0.739366053,0.670756646,0.549846626,0.452709611,0.77198364,0.757924335,0.738803681,0.714314928
25,0.739723926,0.670705521,0.550817996,0.45398773,0.772801636,0.758384458,0.739570552,0.714928425
26,0.739417178,0.670296524,0.549744376,0.455368098,0.77305726,0.759560327,0.739672802,0.715286299
27,0.739672802,0.670961145,0.552862986,0.452658487,0.773670757,0.760224949,0.740388548,0.715695297
28,0.739621677,0.670296524,0.554345603,0.453374233,0.774437628,0.761758691,0.740746421,0.715644172
29,0.741002045,0.67101227,0.55593047,0.453271984,0.775,0.762372188,0.741308793,0.71595092
30,0.740848671,0.672443763,0.555010225,0.452096115,0.775613497,0.763241309,0.741564417,0.716104294
31,0.740184049,0.673261759,0.55603272,0.453885481,0.776175869,0.763803681,0.742229039,0.716206544
32,0.741666667,0.673721881,0.555572597,0.456237219,0.776738241,0.764417178,0.742638037,0.716002045
33,0.742535787,0.675153374,0.555419223,0.456134969,0.777658487,0.765235174,0.743047035,0.715899796
34,0.743456033,0.676789366,0.555316973,0.458691207,0.778271984,0.765848671,0.743251534,0.716257669
35,0.742944785,0.677453988,0.552453988,0.457873211,0.778425358,0.766411043,0.743353783,0.716411043
36,0.742740286,0.677505112,0.553169734,0.457055215,0.77908998,0.766768916,0.743558282,0.716513292
37,0.744376278,0.677453988,0.55408998,0.456543967,0.779396728,0.767177914,0.743762781,0.716104294
38,0.74406953,0.677096115,0.553527607,0.453680982,0.780163599,0.768251534,0.74396728,0.715746421
39,0.745705521,0.676278119,0.55301636,0.453169734,0.78093047,0.768660532,0.743916155,0.715337423
40,0.745603272,0.676789366,0.553629857,0.452607362,0.781390593,0.769171779,0.744631902,0.715235174