round,Ours,Exist Shuffle,PerLDP,NoDP
0,0.112235243,0.112235243,0.112235243,0.112235243
1,0.403450033,0.406143096,0.400143096,0.423466046
2,0.581410583,0.568818691,0.558818691,0.642259262
3,0.660528423,0.642987117,0.622987117,0.735497489
4,0.706601645,0.694082539,0.684082539,0.781352355
5,0.736079773,0.720794818,0.718794818,0.801586724
6,0.752820438,0.733386709,0.729386709,0.816143824
7,0.763665478,0.746852027,0.746852027,0.826115438
8,0.770725671,0.751073586,0.750073586,0.830628139
9,0.775311158,0.753329937,0.755329937,0.834340199
10,0.779678288,0.755804644,0.757804644,0.838852901
11,0.781789068,0.759880632,0.760880632,0.841036466
12,0.784263775,0.761336342,0.760336342,0.843583958