acc1,Ours,acc2,PerLDP-min,acc3,PerLDP-max,acc4,Exist Shuffle,acc5,PerLDP
0.112235243,0,0.112235243,0,0.112235243,0,0.112235243,0,0.112235243,0
0.403450033,4.811637074,0.342382997,39.13721276,0.413348861,937.9973364,0.406143096,10.00276525,0.406143096,937.9973364
0.581410583,9.623274148,0.45818473,78.27442552,0.598733532,1875.994673,0.568818691,20.00553049,0.568818691,1875.994673
0.660528423,14.43491122,0.50185603,117.4116383,0.677341873,2813.992009,0.642987117,30.00829574,0.642987117,2813.992009
0.706601645,19.2465483,0.572385181,156.548851,0.719266322,3751.989346,0.694082539,40.01106098,0.694082539,3751.989346
0.736079773,24.05818537,0.57660674,195.6860638,0.747434311,4689.986682,0.720794818,50.01382623,0.720794818,4689.986682
0.752820438,28.86982244,0.578135235,234.8232766,0.764102191,5627.984019,0.733386709,60.01659147,0.733386709,5627.984019
0.763665478,33.68145952,0.58097387,273.9604893,0.773928233,6565.981355,0.746852027,70.01935672,0.746852027,6565.981355
0.770725671,38.49309659,0.585,500.0,0.781643497,7503.978692,0.751073586,80.02212196,0.751073586,7503.978692
0.775311158,43.30473367,0.59,800.0,0.787029624,8441.976028,0.753329937,90.02488721,0.753329937,8441.976028
0.779678288,48.11637074,0.6,2000,0.792852464,9379.973364,0.755804644,100.0276525,0.755804644,9379.973364
0.781789068,52.92800781,0.61,7000,0.795472742,10317.9707,0.759880632,110.0304177,0.759880632,10317.9707
0.784263775,57.73964489,0.615,11255,0.799112017,11255.96804,0.761336342,120.0331829,0.761336342,11255.96804