round,perLDP,perLDP-min,perLDP-max,unifiedLdpSgdSilo step 0.1 0.23,personalLdpSgdSilo step 90% 0.1 0.25,per 800/1500 30/50 step 90%0.1 1
0,0.112235243,0.099570566,0.1219157,0.11224,0.11224,0.112235243
1,0.346022272,0.306936458,0.3343766,0.56372,0.56321,0.565834486
2,0.405415241,0.387873936,0.4022127,0.69073,0.69343,0.681636218
3,0.427250892,0.418079918,0.4248490,0.73484,0.74110,0.742776039
4,0.501346532,0.428706602,0.4319819,0.76381,0.77029,0.753548293
5,0.489482495,0.427687605,0.4275420,0.77531,0.78288,0.769706674
6,0.476890603,0.424630614,0.4249945,0.78048,0.78754,0.778950433
7,0.462479074,0.411865332,0.4201179,0.78441,0.79103,0.790668899
8,0.449668826,0.412184293,0.4150957,0.78557,0.79278,0.79372589
9,0.437877575,0.424573841,0.4238904,0.78565,0.79431,0.7951816
10,0.428197103,0.435839581,0.4105706,0.78543,0.79627,0.797365165
11,0.419390058,0.42259262,0.4271053,0.78572,0.79773,0.792706893
12,0.411602009,0.414149501,0.4185166,0.78579,0.79846,0.8047165