acc1,Personal LDP-max,acc2,Personal LDP-min,acc3,Personal LDP,acc4,Exist Shuffle LDP,acc5,Ours,acc6,Ours+subsample 800/1500 30/50
0.112235243,7850.00,0.112235243,136.33,0.112235243,7850.00,0.112235243,170.31,0.11224,87.38,0.112235243,14.27 
0.54472669,15700.00,0.563723706,272.66,0.563723706,15700.00,0.563723706,340.62,0.56321,174.76,0.565834486,28.54 
0.699832593,23550.00,0.690734406,408.99,0.690734406,23550.00,0.690734406,510.92,0.69343,262.14,0.681636218,42.81 
0.751874227,31400.00,0.734842419,545.32,0.734842419,31400.00,0.734842419,681.23,0.74110,349.52,0.742776039,57.08 
0.778804862,39250.00,0.757988209,681.65,0.763811049,39250.00,0.763811049,851.53,0.77029,436.90,0.753548293,71.35 
0.79372589,47100.00,0.760026203,817.98,0.775311158,47100.00,0.775311158,1021.84,0.78288,524.28,0.769706674,85.63 
0.8047165,54950.00,0.761700269,954.31,0.780115001,54950.00,0.780115001,1192.14,0.78754,611.66,0.778950433,99.90 
0.811995051,62800.00,0.763447121,1090.64,0.780478929,62800.00,0.780478929,1362.45,0.79103,699.04,0.790668899,114.17 
0.817381178,70650.00,0.763811049,1226.97,0.780697285,70650.00,0.780697285,1532.75,0.79285,786.42,0.79372589,128.44 
0.821166024,78500.00,0.765193973,1363.30,0.781570711,78500.00,0.781570711,1703.06,0.79438,873.80,0.7951816,142.71 
0.824586942,86350.00,0.767231967,1499.63,0.782298566,86350.00,0.782298566,1873.36,0.79627,961.18,0.797365165,156.99 
0.826770507,94200.00,0.768833248,1635.96,0.782953636,94200.00,0.782953636,2043.67,0.79766,1048.56,0.792706893,171.26 
0.828153432,102050.00,0.770725671,1772.29,0.783317563,102050.00,0.783317563,2213.97,0.79824,1135.94,0.8047165,185.53 
0.829973069,109900.00,0.77203581,1908.62,0.783463134,109900.00,0.783463134,2384.28,0.79831,1223.32,0.809811486,199.80 
0.831501565,117750.00,0.773564306,2044.95,0.784190989,117750.00,0.784190989,2554.58,0.79846,1310.70,0.81039377,214.07 
0.832957275,125600.00,0.775311158,2181.28,0.784263775,125600.00,0.784263775,2724.89,0.79868,1398.08,0.807700706,228.35 
0.834412985,133450.00,0.7756023,2317.61,0.784409346,133450.00,0.784409346,2895.19,0.79889,1485.46,0.814324187,242.62 
0.835504767,141300.00,0.778004222,2453.94,0.784627702,141300.00,0.784627702,3065.50,0.79889,1572.84,0.814906471,256.89 
0.837033263,149150.00,0.779751074,2590.27,0.785282772,149150.00,0.785282772,3235.80,0.79911,1660.22,0.815779897,271.16 