n,no shuffle,Clones Shuffle,PerS upper bound,PerS lower bound
1000,0.9996921,0.621434372,0.520162965,0.072872551
2000,0.999426666,0.475055716,0.392702597,0.051197223
3000,0.999999485,0.403182569,0.333220895,0.04191268
4000,0.999698747,0.357475469,0.293774215,0.03630436
5000,0.999888213,0.325231173,0.266265099,0.032468655
10000,0.999962952,0.24030552,0.194987953,0.023014
15000,0.9999936,0.2002771,0.162025834,0.018865133
20000,0.999967134,0.175629631,0.141653766,0.016331656
30000,0.999984604,0.145604994,0.117145271,0.013364496
50000,0.999954993,0.114562269,0.091839117,0.010345734
100000,0.999998472,0.082335151,0.065792001,0.007325314