perRight,no shuffle,Clones Shuffle,PerS upper bound,PerS lower bound
0.1,0.1,0.018566634,0.01857076,0.01857076
0.2,0.199993852,0.038545748,0.037630235,0.019039755
0.3,0.299981792,0.059876757,0.057039238,0.019511248
0.4,0.399976786,0.082490782,0.076733496,0.019990256
0.5,0.499913708,0.106291764,0.096582115,0.02049743
0.6,0.599982565,0.131239669,0.116363843,0.020951783
0.7,0.699943881,0.157185244,0.136356611,0.021491273
0.8,0.799937415,0.18407274,0.15596715,0.02195882
0.9,0.899951569,0.211810292,0.175440585,0.022464499
1,0.999980243,0.240310508,0.194988726,0.02301984
2,1.999890811,0.552543998,0.366421126,0.028722133
3,2.999962185,0.894075363,0.493903422,0.034697213